id,fitted_entries,resolution,contourLevel,chain_id,chain_label,segment_overlap,segment_volume
21151,6vdk,4.5,0.009,J,10.0,0.52,12198
21151,6vdk,4.5,0.009,M,11.0,0.53,10691
21151,6vdk,4.5,0.009,P,12.0,0.46,10295
21454,6vy0,6.68,0.0166,A,1.0,0.38,88846
21454,6vy0,6.68,0.0166,B,2.0,0.38,88932
21454,6vy0,6.68,0.0166,C,3.0,0.38,88885
21454,6vy0,6.68,0.0166,D,4.0,0.38,88896
21661,6wg7,8.3,0.25,A,1.0,0.51,47362
21661,6wg7,8.3,0.25,B,2.0,0.49,47213
21661,6wg7,8.3,0.25,C,3.0,0.34,90097
21661,6wg7,8.3,0.25,D,4.0,0.36,86084
21661,6wg7,8.3,0.25,E,5.0,0.35,90080
21661,6wg7,8.3,0.25,G,6.0,0.42,86025
21661,6wg7,8.3,0.25,F,7.0,0.56,90096
21661,6wg7,8.3,0.25,H,8.0,0.39,85981
21693,6wjg,6.2,0.678,A,1.0,0.24,89426
21693,6wjg,6.2,0.678,B,2.0,0.25,89036
21693,6wjg,6.2,0.678,C,3.0,0.25,49343
21693,6wjg,6.2,0.678,D,4.0,0.26,49866
22115,6xav,7.7,0.0025,L,1.0,0.51,36368
22115,6xav,7.7,0.0025,N,2.0,0.85,34315
22115,6xav,7.7,0.0025,T,3.0,0.91,36178
22115,6xav,7.7,0.0025,R,4.0,0.98,13783
22115,6xav,7.7,0.0025,W,5.0,0.98,23329
22115,6xav,7.7,0.0025,K,6.0,0.93,93867
22115,6xav,7.7,0.0025,H,7.0,0.9,75735
22115,6xav,7.7,0.0025,I,8.0,0.75,398935
22115,6xav,7.7,0.0025,J,9.0,0.88,416756
22115,6xav,7.7,0.0025,G,10.0,0.82,67916
22115,6xav,7.7,0.0025,C,11.0,0.73,129293
22115,6xav,7.7,0.0025,A,12.0,0.71,110826
22115,6xav,7.7,0.0025,B,13.0,0.62,127132
22115,6xav,7.7,0.0025,D,14.0,0.88,129770
22115,6xav,7.7,0.0025,E,15.0,0.87,128436
22115,6xav,7.7,0.0025,F,16.0,0.87,109773
22206,6xjd,6.8,0.0053,A,1.0,0.56,38122
22206,6xjd,6.8,0.0053,B,2.0,0.61,29467
22206,6xjd,6.8,0.0053,C,3.0,0.56,39695
22206,6xjd,6.8,0.0053,D,4.0,0.52,34869
22206,6xjd,6.8,0.0053,E,5.0,0.53,38056
22206,6xjd,6.8,0.0053,F,6.0,0.45,29778
22206,6xjd,6.8,0.0053,G,7.0,0.49,38876
22206,6xjd,6.8,0.0053,H,8.0,0.5,34208
22206,6xjd,6.8,0.0053,I,9.0,0.55,138069
22206,6xjd,6.8,0.0053,J,10.0,0.55,139053
22206,6xjd,6.8,0.0053,K,11.0,0.28,100357
22206,6xjd,6.8,0.0053,L,12.0,0.47,100321
22423,7jpu,5.0,0.009,A,1.0,0.5,251233
22423,7jpu,5.0,0.009,B,2.0,0.5,252129
22423,7jpu,5.0,0.009,C,3.0,0.5,250987
22423,7jpu,5.0,0.009,D,4.0,0.5,252024
22754,7k9l,4.9,0.0247,B,1.0,0.22,67542
22754,7k9l,4.9,0.0247,A,2.0,0.23,67546
22754,7k9l,4.9,0.0247,C,3.0,0.23,67539
22754,7k9l,4.9,0.0247,D,4.0,0.23,67539
23014,7ks0,5.3,0.367,A,1.0,0.36,145553
23014,7ks0,5.3,0.367,B,2.0,0.38,144921
23014,7ks0,5.3,0.367,C,3.0,0.37,145632
23014,7ks0,5.3,0.367,D,4.0,0.39,145164
23064,7kxj,6.4,0.24,A,1.0,0.57,265124
23064,7kxj,6.4,0.24,B,2.0,0.58,263386
23064,7kxj,6.4,0.24,C,3.0,0.54,262983
23064,7kxj,6.4,0.24,L,4.0,0.71,56117
23064,7kxj,6.4,0.24,H,5.0,0.47,56055
23064,7kxj,6.4,0.24,M,6.0,0.54,55746
23064,7kxj,6.4,0.24,I,7.0,0.66,55841
23064,7kxj,6.4,0.24,N,8.0,0.38,57005
23064,7kxj,6.4,0.24,J,9.0,0.4,55651
23530,7lv9,4.5,5.06,B,1.0,0.89,20205
23530,7lv9,4.5,5.06,A,2.0,0.79,21592
23530,7lv9,4.5,5.06,D,3.0,0.75,18201
23530,7lv9,4.5,5.06,C,4.0,0.72,18852
23530,7lv9,4.5,5.06,F,5.0,0.82,20417
23530,7lv9,4.5,5.06,E,6.0,0.77,21529
23530,7lv9,4.5,5.06,G,7.0,0.68,49309
23530,7lv9,4.5,5.06,H,8.0,0.68,50074
2387,4bpq,6.0,46.2,A,1.0,0.22,58977
2387,4bpq,6.0,46.2,B,2.0,0.22,61155
24425,7rdr,6.5,0.26,A,1.0,0.39,120700
24425,7rdr,6.5,0.26,B,2.0,0.4,120652
24425,7rdr,6.5,0.26,C,3.0,0.39,120702
24566,7rmf,7.3,0.355,W,1.0,0.05,151851
24566,7rmf,7.3,0.355,B,2.0,0.05,151898
24566,7rmf,7.3,0.355,C,3.0,0.23,152144
24566,7rmf,7.3,0.355,A,4.0,0.23,152124
24566,7rmf,7.3,0.355,J,5.0,0.23,152053
24566,7rmf,7.3,0.355,F,6.0,0.23,152103
24566,7rmf,7.3,0.355,H,7.0,0.05,152013
24566,7rmf,7.3,0.355,D,8.0,0.05,151995
24566,7rmf,7.3,0.355,K,9.0,0.31,152082
24566,7rmf,7.3,0.355,G,10.0,0.3,152082
24566,7rmf,7.3,0.355,I,11.0,0.3,152070
24566,7rmf,7.3,0.355,E,12.0,0.31,152098
24575,7rmk,6.6,0.3,R,1.0,0.43,140055
24575,7rmk,6.6,0.3,K,2.0,0.44,140022
24575,7rmk,6.6,0.3,L,3.0,0.48,139976
24575,7rmk,6.6,0.3,M,4.0,0.5,139985
24575,7rmk,6.6,0.3,Y,5.0,0.37,140080
24575,7rmk,6.6,0.3,I,6.0,0.35,140041
24575,7rmk,6.6,0.3,P,7.0,0.41,139932
24575,7rmk,6.6,0.3,U,8.0,0.39,140040
24575,7rmk,6.6,0.3,D,9.0,0.39,140007
24575,7rmk,6.6,0.3,A,10.0,0.39,140001
24575,7rmk,6.6,0.3,B,11.0,0.36,140044
24575,7rmk,6.6,0.3,C,12.0,0.39,140018
24575,7rmk,6.6,0.3,Z,13.0,0.4,140001
24575,7rmk,6.6,0.3,J,14.0,0.35,140044
24575,7rmk,6.6,0.3,Q,15.0,0.4,140071
24575,7rmk,6.6,0.3,V,16.0,0.38,140014
24575,7rmk,6.6,0.3,H,17.0,0.41,139957
24575,7rmk,6.6,0.3,E,18.0,0.4,139997
24575,7rmk,6.6,0.3,F,19.0,0.36,140021
24575,7rmk,6.6,0.3,G,20.0,0.36,140020
24575,7rmk,6.6,0.3,a,21.0,0.52,140007
24575,7rmk,6.6,0.3,N,22.0,0.46,140003
24575,7rmk,6.6,0.3,S,23.0,0.45,139957
24575,7rmk,6.6,0.3,W,24.0,0.42,140060
24575,7rmk,6.6,0.3,b,25.0,0.49,139972
24575,7rmk,6.6,0.3,O,26.0,0.5,140031
24575,7rmk,6.6,0.3,T,27.0,0.52,140012
24575,7rmk,6.6,0.3,X,28.0,0.47,140047
24578,7rmv,6.7,0.0158,A,1.0,0.12,142972
24578,7rmv,6.7,0.0158,B,2.0,0.11,143011
24578,7rmv,6.7,0.0158,C,3.0,0.26,142934
24578,7rmv,6.7,0.0158,D,4.0,0.25,142970
24578,7rmv,6.7,0.0158,E,5.0,0.26,142942
24578,7rmv,6.7,0.0158,F,6.0,0.25,142921
24578,7rmv,6.7,0.0158,G,7.0,0.12,143039
24578,7rmv,6.7,0.0158,H,8.0,0.11,143008
2526,4chv,7.0,2.3,A,1.0,0.19,105038
2526,4chv,7.0,2.3,B,2.0,0.21,105334
2526,4chv,7.0,2.3,C,3.0,0.2,105122
2526,4chv,7.0,2.3,D,4.0,0.19,104982
2527,4chw,7.0,2.3,A,1.0,0.19,105868
2527,4chw,7.0,2.3,B,2.0,0.19,105684
2527,4chw,7.0,2.3,C,3.0,0.19,105884
2527,4chw,7.0,2.3,D,4.0,0.18,105900
26547,7uik,7.7,0.008,X,1.0,0.44,45327
26547,7uik,7.7,0.008,Y,2.0,0.43,44338
26547,7uik,7.7,0.008,T,3.0,0.46,42403
26547,7uik,7.7,0.008,U,4.0,0.46,41808
26547,7uik,7.7,0.008,o,5.0,0.8,46119
26547,7uik,7.7,0.008,b,6.0,0.88,28628
26547,7uik,7.7,0.008,c,7.0,0.8,46049
26547,7uik,7.7,0.008,n,8.0,0.69,77742
26547,7uik,7.7,0.008,e,9.0,0.78,228259
26547,7uik,7.7,0.008,p,10.0,0.87,264249
26563,7ujj,6.5,0.73,G,1.0,0.41,45917
26563,7ujj,6.5,0.73,A,2.0,0.37,70453
26563,7ujj,6.5,0.73,B,3.0,0.29,20019
26563,7ujj,6.5,0.73,C,4.0,0.33,20190
26563,7ujj,6.5,0.73,D,5.0,0.3,19866
26563,7ujj,6.5,0.73,E,6.0,0.41,20113
26563,7ujj,6.5,0.73,F,7.0,0.42,20263
27726,8dut,7.4,0.403,A,1.0,0.61,51438
27726,8dut,7.4,0.403,B,2.0,0.66,49921
28536,8eqb,6.5,0.014,A,1.0,0.23,33002
28536,8eqb,6.5,0.014,B,2.0,0.23,52324
28536,8eqb,6.5,0.014,C,3.0,0.2,45771
28536,8eqb,6.5,0.014,D,4.0,0.23,33026
28536,8eqb,6.5,0.014,E,5.0,0.23,52312
28536,8eqb,6.5,0.014,F,6.0,0.2,45752
28536,8eqb,6.5,0.014,G,7.0,0.22,32991
28536,8eqb,6.5,0.014,H,8.0,0.23,52335
28536,8eqb,6.5,0.014,I,9.0,0.2,45773
28536,8eqb,6.5,0.014,J,10.0,0.23,33029
28536,8eqb,6.5,0.014,K,11.0,0.23,52308
28536,8eqb,6.5,0.014,L,12.0,0.19,45754
29044,8ffj,7.5,0.5,X,1.0,0.63,186532
29044,8ffj,7.5,0.5,J,2.0,0.74,64911
29044,8ffj,7.5,0.5,Q,3.0,0.62,65470
29044,8ffj,7.5,0.5,I,4.0,0.64,36193
29880,8g9w,4.66,0.27,B,1.0,0.7,28756
29880,8g9w,4.66,0.27,D,2.0,0.68,28720
29880,8g9w,4.66,0.27,E,3.0,0.71,91593
29880,8g9w,4.66,0.27,G,4.0,0.73,91949
29880,8g9w,4.66,0.27,H,5.0,0.8,22663
29880,8g9w,4.66,0.27,L,6.0,0.8,19716
29880,8g9w,4.66,0.27,O,7.0,0.68,28693
29880,8g9w,4.66,0.27,P,8.0,0.73,91837
30239,7by0,4.5,0.02,A,1.0,0.35,22967
30239,7by0,4.5,0.02,B,2.0,0.33,16757
30239,7by0,4.5,0.02,C,3.0,0.35,22601
30239,7by0,4.5,0.02,D,4.0,0.36,19583
30239,7by0,4.5,0.02,E,5.0,0.35,22888
30239,7by0,4.5,0.02,F,6.0,0.36,16819
30239,7by0,4.5,0.02,G,7.0,0.36,22651
30239,7by0,4.5,0.02,H,8.0,0.35,19691
30239,7by0,4.5,0.02,I,9.0,0.58,72589
30239,7by0,4.5,0.02,J,10.0,0.58,73301
30239,7by0,4.5,0.02,K,11.0,0.33,10414
30239,7by0,4.5,0.02,L,12.0,0.35,10473
30641,7dcx,5.9,0.66,A,1.0,0.54,55959
30641,7dcx,5.9,0.66,B,2.0,0.34,54920
30641,7dcx,5.9,0.66,D,3.0,0.53,263426
30641,7dcx,5.9,0.66,E,4.0,0.45,56742
30641,7dcx,5.9,0.66,F,5.0,0.37,54944
30641,7dcx,5.9,0.66,G,6.0,0.46,48690
30641,7dcx,5.9,0.66,H,7.0,0.31,55973
30641,7dcx,5.9,0.66,K,8.0,0.53,265220
30641,7dcx,5.9,0.66,C,9.0,0.53,265262
30642,7dd2,5.6,0.9,C,1.0,0.45,258333
30642,7dd2,5.6,0.9,D,2.0,0.48,257102
30642,7dd2,5.6,0.9,E,3.0,0.39,54964
30642,7dd2,5.6,0.9,H,4.0,0.31,53980
30642,7dd2,5.6,0.9,K,5.0,0.46,259095
30642,7dd2,5.6,0.9,A,6.0,0.46,54651
30642,7dd2,5.6,0.9,B,7.0,0.33,53395
30649,7dd8,7.5,0.86,A,1.0,0.48,73708
30649,7dd8,7.5,0.86,B,2.0,0.16,70390
30649,7dd8,7.5,0.86,C,3.0,0.48,334831
30649,7dd8,7.5,0.86,D,4.0,0.37,329123
30649,7dd8,7.5,0.86,E,5.0,0.58,328879
30705,7dk7,9.7,0.75,e,1.0,0.27,15041
30705,7dk7,9.7,0.75,f,2.0,0.36,55153
30705,7dk7,9.7,0.75,A,3.0,0.49,425550
30705,7dk7,9.7,0.75,B,4.0,0.45,423806
30705,7dk7,9.7,0.75,a,5.0,0.43,89693
30705,7dk7,9.7,0.75,b,6.0,0.5,91824
30705,7dk7,9.7,0.75,c,7.0,0.41,90119
30705,7dk7,9.7,0.75,d,8.0,0.45,92554
30705,7dk7,9.7,0.75,C,9.0,0.5,423388
30997,7e6u,6.0,0.0104,A,1.0,0.52,197603
30997,7e6u,6.0,0.0104,D,2.0,0.51,30101
30997,7e6u,6.0,0.0104,C,3.0,0.53,197425
30997,7e6u,6.0,0.0104,B,4.0,0.51,29581
31019,7e8h,4.5,0.0072,J,1.0,0.59,140648
31019,7e8h,4.5,0.0072,I,2.0,0.59,140952
31019,7e8h,4.5,0.0072,F,3.0,0.14,36172
31019,7e8h,4.5,0.0072,B,4.0,0.42,92180
31019,7e8h,4.5,0.0072,E,5.0,0.1,37091
31019,7e8h,4.5,0.0072,A,6.0,0.42,93005
31019,7e8h,4.5,0.0072,L,7.0,0.59,140658
31019,7e8h,4.5,0.0072,K,8.0,0.59,140870
31019,7e8h,4.5,0.0072,H,9.0,0.13,36224
31019,7e8h,4.5,0.0072,D,10.0,0.42,92119
31019,7e8h,4.5,0.0072,G,11.0,0.09,37084
31019,7e8h,4.5,0.0072,C,12.0,0.41,93015
31721,7v59,5.26,0.217,B,1.0,0.38,290565
31721,7v59,5.26,0.217,E,2.0,0.38,290561
31721,7v59,5.26,0.217,C,3.0,0.61,70414
31721,7v59,5.26,0.217,D,4.0,0.51,32970
31721,7v59,5.26,0.217,G,5.0,0.59,70420
31721,7v59,5.26,0.217,H,6.0,0.53,32919
32114,7vsr,4.5,0.018,A,1.0,0.37,58615
32114,7vsr,4.5,0.018,B,2.0,0.41,57627
32114,7vsr,4.5,0.018,C,3.0,0.42,57999
32114,7vsr,4.5,0.018,D,4.0,0.36,57387
32114,7vsr,4.5,0.018,E,5.0,0.31,57044
32114,7vsr,4.5,0.018,F,6.0,0.29,56784
32114,7vsr,4.5,0.018,G,7.0,0.36,58342
32114,7vsr,4.5,0.018,H,8.0,0.41,57437
32114,7vsr,4.5,0.018,I,9.0,0.43,57647
32114,7vsr,4.5,0.018,J,10.0,0.38,57049
32114,7vsr,4.5,0.018,K,11.0,0.31,56925
32114,7vsr,4.5,0.018,L,12.0,0.29,56860
32114,7vsr,4.5,0.018,M,13.0,0.31,60543
32114,7vsr,4.5,0.018,N,14.0,0.32,60551
33506,7xxl,7.3,0.13,C,1.0,0.49,62098
33506,7xxl,7.3,0.13,A,2.0,0.6,69110
33506,7xxl,7.3,0.13,B,3.0,0.58,59269
33602,7y46,7.2,0.006,C,1.0,0.29,280012
33602,7y46,7.2,0.006,D,2.0,0.37,97831
33602,7y46,7.2,0.006,E,3.0,0.48,18798
33602,7y46,7.2,0.006,A,4.0,0.3,280002
33602,7y46,7.2,0.006,B,5.0,0.36,97868
33602,7y46,7.2,0.006,G,6.0,0.46,18837
33626,7y5v,6.1,0.07,A,1.0,0.61,38726
33626,7y5v,6.1,0.07,D,2.0,0.63,23167
33626,7y5v,6.1,0.07,E,3.0,0.59,16280
33626,7y5v,6.1,0.07,C,4.0,0.75,72193
33626,7y5v,6.1,0.07,B,5.0,0.64,66292
33626,7y5v,6.1,0.07,F,6.0,0.53,38742
33626,7y5v,6.1,0.07,I,7.0,0.69,23225
33626,7y5v,6.1,0.07,J,8.0,0.65,16252
33626,7y5v,6.1,0.07,H,9.0,0.72,72161
33626,7y5v,6.1,0.07,G,10.0,0.66,66265
33631,7y61,5.6,0.09,G,1.0,0.55,13186
33631,7y61,5.6,0.09,H,2.0,0.65,12315
33631,7y61,5.6,0.09,E,3.0,0.64,12641
33631,7y61,5.6,0.09,F,4.0,0.64,12793
33631,7y61,5.6,0.09,I,5.0,0.66,65392
33631,7y61,5.6,0.09,C,6.0,0.65,12682
33631,7y61,5.6,0.09,D,7.0,0.64,12404
33631,7y61,5.6,0.09,A,8.0,0.59,13132
33631,7y61,5.6,0.09,B,9.0,0.63,12274
33631,7y61,5.6,0.09,J,10.0,0.67,65345
33631,7y61,5.6,0.09,K,11.0,0.5,4581
33631,7y61,5.6,0.09,L,12.0,0.58,54431
33631,7y61,5.6,0.09,M,13.0,0.29,4540
33631,7y61,5.6,0.09,N,14.0,0.61,54643
33942,7ymt,6.55,0.25,A,1.0,0.65,305320
33942,7ymt,6.55,0.25,B,2.0,0.62,306409
33942,7ymt,6.55,0.25,C,3.0,0.66,306161
33943,7ymv,6.74,0.25,A,1.0,0.67,307747
33943,7ymv,6.74,0.25,B,2.0,0.64,307214
33943,7ymv,6.74,0.25,C,3.0,0.66,307216
33944,7ymw,6.05,0.25,A,1.0,0.79,283941
33944,7ymw,6.05,0.25,B,2.0,0.72,285989
33944,7ymw,6.05,0.25,C,3.0,0.71,286388
33947,7ymy,4.96,0.25,A,1.0,0.8,237354
33947,7ymy,4.96,0.25,B,2.0,0.78,237012
33947,7ymy,4.96,0.25,C,3.0,0.77,237616
34427,8h1c,4.5,0.17,B,1.0,0.7,192324
34427,8h1c,4.5,0.17,C,2.0,0.81,35565
34427,8h1c,4.5,0.17,A,3.0,0.77,190224
34427,8h1c,4.5,0.17,D,4.0,0.73,34992
36014,8j6t,6.6,0.07,G,1.0,0.66,17198
36014,8j6t,6.6,0.07,H,2.0,0.62,16239
36014,8j6t,6.6,0.07,E,3.0,0.71,16516
36014,8j6t,6.6,0.07,F,4.0,0.65,16608
36014,8j6t,6.6,0.07,I,5.0,0.62,83407
36014,8j6t,6.6,0.07,C,6.0,0.65,16574
36014,8j6t,6.6,0.07,D,7.0,0.62,16171
36014,8j6t,6.6,0.07,A,8.0,0.6,17210
36014,8j6t,6.6,0.07,B,9.0,0.68,16074
36014,8j6t,6.6,0.07,J,10.0,0.65,83309
36014,8j6t,6.6,0.07,K,11.0,0.2,6477
36014,8j6t,6.6,0.07,L,12.0,0.69,65203
36014,8j6t,6.6,0.07,M,13.0,0.96,6468
36014,8j6t,6.6,0.07,N,14.0,0.67,65412
3696,5nss,5.8,0.002,A,1.0,0.76,58507
3696,5nss,5.8,0.002,B,2.0,0.5,58364
3696,5nss,5.8,0.002,C,3.0,0.65,302580
3696,5nss,5.8,0.002,D,4.0,0.56,286458
3696,5nss,5.8,0.002,E,5.0,0.65,19326
3696,5nss,5.8,0.002,F,6.0,0.66,44924
3696,5nss,5.8,0.002,G,7.0,0.69,46097
3696,5nss,5.8,0.002,J,8.0,0.65,46100
3696,5nss,5.8,0.002,K,9.0,0.81,47045
3696,5nss,5.8,0.002,L,10.0,0.87,45791
3696,5nss,5.8,0.002,N,11.0,0.72,46771
3696,5nss,5.8,0.002,H,12.0,0.52,27437
3696,5nss,5.8,0.002,M,13.0,0.48,78965
3696,5nss,5.8,0.002,I,14.0,0.41,24781
3885,6el1,6.1,0.045,E,1.0,0.36,91516
3885,6el1,6.1,0.045,O,2.0,0.28,94937
3885,6el1,6.1,0.045,A,3.0,0.36,91637
3885,6el1,6.1,0.045,K,4.0,0.28,94912
3885,6el1,6.1,0.045,B,5.0,0.37,91546
3885,6el1,6.1,0.045,L,6.0,0.27,94912
3885,6el1,6.1,0.045,C,7.0,0.37,91507
3885,6el1,6.1,0.045,M,8.0,0.27,94897
3885,6el1,6.1,0.045,D,9.0,0.37,91621
3885,6el1,6.1,0.045,N,10.0,0.26,94941
3885,6el1,6.1,0.045,F,11.0,0.37,91564
3885,6el1,6.1,0.045,P,12.0,0.26,94960
3885,6el1,6.1,0.045,G,13.0,0.36,91539
3885,6el1,6.1,0.045,Q,14.0,0.27,94903
3885,6el1,6.1,0.045,H,15.0,0.36,91558
3885,6el1,6.1,0.045,R,16.0,0.27,94977
3885,6el1,6.1,0.045,I,17.0,0.36,91592
3885,6el1,6.1,0.045,S,18.0,0.28,94915
3885,6el1,6.1,0.045,J,19.0,0.36,91583
3885,6el1,6.1,0.045,T,20.0,0.28,94976
3954,6hts,4.8,0.0155,A,1.0,0.85,92448
3954,6hts,4.8,0.0155,B,2.0,0.8,92221
3954,6hts,4.8,0.0155,C,3.0,0.76,93135
3954,6hts,4.8,0.0155,D,4.0,0.72,92970
3954,6hts,4.8,0.0155,E,5.0,0.64,94513
3954,6hts,4.8,0.0155,F,6.0,0.74,94126
3954,6hts,4.8,0.0155,G,7.0,0.73,124814
3954,6hts,4.8,0.0155,H,8.0,0.77,49178
3954,6hts,4.8,0.0155,I,9.0,0.77,23206
3954,6hts,4.8,0.0155,J,10.0,0.81,19034
3954,6hts,4.8,0.0155,K,11.0,0.84,23946
3954,6hts,4.8,0.0155,L,12.0,0.8,22172
3954,6hts,4.8,0.0155,M,13.0,0.8,23841
3954,6hts,4.8,0.0155,N,14.0,0.59,20609
3954,6hts,4.8,0.0155,O,15.0,0.57,23572
3954,6hts,4.8,0.0155,P,16.0,0.57,21321
3954,6hts,4.8,0.0155,R,17.0,0.59,16419
3954,6hts,4.8,0.0155,X,18.0,0.72,86360
3954,6hts,4.8,0.0155,Y,19.0,0.71,86128
4343,6g2h,4.6,0.014,D,1.0,0.5,309213
4343,6g2h,4.6,0.014,E,2.0,0.49,309481
4343,6g2h,4.6,0.014,C,3.0,0.49,189042
4343,6g2h,4.6,0.014,F,4.0,0.5,189238
4343,6g2h,4.6,0.014,B,5.0,0.35,157869
4343,6g2h,4.6,0.014,A,6.0,0.34,157621
4400,6i2t,5.7,0.018,B,1.0,0.27,128999
4400,6i2t,5.7,0.018,A,2.0,0.3,127719
4400,6i2t,5.7,0.018,C,3.0,0.31,127660
4400,6i2t,5.7,0.018,D,4.0,0.27,128986
4400,6i2t,5.7,0.018,J,5.0,0.46,4005
4670,6qxt,8.9,0.025,A,1.0,0.49,73037
4670,6qxt,8.9,0.025,B,2.0,0.49,72578
4670,6qxt,8.9,0.025,C,3.0,0.49,73072
4670,6qxt,8.9,0.025,D,4.0,0.47,72520
4670,6qxt,8.9,0.025,E,5.0,0.38,72992
4670,6qxt,8.9,0.025,F,6.0,0.42,72572
4670,6qxt,8.9,0.025,G,7.0,0.4,73061
4670,6qxt,8.9,0.025,H,8.0,0.46,72636
4670,6qxt,8.9,0.025,I,9.0,0.47,86552
4670,6qxt,8.9,0.025,J,10.0,0.46,85740
4670,6qxt,8.9,0.025,K,11.0,0.44,38436
4670,6qxt,8.9,0.025,L,12.0,0.46,86873
4670,6qxt,8.9,0.025,M,13.0,0.5,85782
4670,6qxt,8.9,0.025,N,14.0,0.46,38117
4670,6qxt,8.9,0.025,O,15.0,0.47,86918
4670,6qxt,8.9,0.025,P,16.0,0.5,85790
4670,6qxt,8.9,0.025,Q,17.0,0.5,38561
4670,6qxt,8.9,0.025,R,18.0,0.37,86959
4670,6qxt,8.9,0.025,S,19.0,0.51,85674
4670,6qxt,8.9,0.025,T,20.0,0.42,38145
4670,6qxt,8.9,0.025,U,21.0,0.42,86908
4670,6qxt,8.9,0.025,V,22.0,0.47,85286
4670,6qxt,8.9,0.025,W,23.0,0.41,39317
4670,6qxt,8.9,0.025,X,24.0,0.39,39408
4670,6qxt,8.9,0.025,Y,25.0,0.41,86924
4670,6qxt,8.9,0.025,Z,26.0,0.49,85746
4670,6qxt,8.9,0.025,a,27.0,0.44,73100
4670,6qxt,8.9,0.025,b,28.0,0.47,72577
4670,6qxt,8.9,0.025,c,29.0,0.44,73004
4670,6qxt,8.9,0.025,d,30.0,0.51,72539
4670,6qxt,8.9,0.025,e,31.0,0.41,73056
4670,6qxt,8.9,0.025,f,32.0,0.43,72559
4670,6qxt,8.9,0.025,g,33.0,0.4,73043
4670,6qxt,8.9,0.025,h,34.0,0.42,72614
4670,6qxt,8.9,0.025,i,35.0,0.43,86477
4670,6qxt,8.9,0.025,j,36.0,0.45,85732
4670,6qxt,8.9,0.025,k,37.0,0.46,38496
4670,6qxt,8.9,0.025,l,38.0,0.43,86932
4670,6qxt,8.9,0.025,m,39.0,0.51,85717
4670,6qxt,8.9,0.025,n,40.0,0.46,38064
4670,6qxt,8.9,0.025,o,41.0,0.48,86905
4670,6qxt,8.9,0.025,p,42.0,0.48,85704
4670,6qxt,8.9,0.025,q,43.0,0.4,38482
4670,6qxt,8.9,0.025,r,44.0,0.42,86888
4670,6qxt,8.9,0.025,s,45.0,0.48,85778
4670,6qxt,8.9,0.025,t,46.0,0.46,38136
4670,6qxt,8.9,0.025,u,47.0,0.42,86908
4670,6qxt,8.9,0.025,v,48.0,0.48,85479
4670,6qxt,8.9,0.025,w,49.0,0.43,39288
4670,6qxt,8.9,0.025,x,50.0,0.44,39290
4670,6qxt,8.9,0.025,y,51.0,0.45,86971
4670,6qxt,8.9,0.025,z,52.0,0.48,85713
4670,6qxt,8.9,0.025,1,53.0,0.34,82194
4670,6qxt,8.9,0.025,2,54.0,0.36,82452
4671,6qy3,9.1,0.015,A,1.0,0.62,74918
4671,6qy3,9.1,0.015,B,2.0,0.58,74421
4671,6qy3,9.1,0.015,C,3.0,0.59,74882
4671,6qy3,9.1,0.015,D,4.0,0.68,74398
4671,6qy3,9.1,0.015,E,5.0,0.6,74854
4671,6qy3,9.1,0.015,F,6.0,0.63,74446
4671,6qy3,9.1,0.015,G,7.0,0.55,74830
4671,6qy3,9.1,0.015,H,8.0,0.59,74416
4671,6qy3,9.1,0.015,I,9.0,0.42,88803
4671,6qy3,9.1,0.015,J,10.0,0.67,87670
4671,6qy3,9.1,0.015,K,11.0,0.74,7690
4671,6qy3,9.1,0.015,L,12.0,0.62,88852
4671,6qy3,9.1,0.015,M,13.0,0.67,87640
4671,6qy3,9.1,0.015,N,14.0,0.7,7681
4671,6qy3,9.1,0.015,O,15.0,0.61,88836
4671,6qy3,9.1,0.015,P,16.0,0.61,87588
4671,6qy3,9.1,0.015,Q,17.0,0.72,7685
4671,6qy3,9.1,0.015,R,18.0,0.53,88846
4671,6qy3,9.1,0.015,S,19.0,0.68,87627
4671,6qy3,9.1,0.015,T,20.0,0.84,7676
4671,6qy3,9.1,0.015,U,21.0,0.52,88857
4671,6qy3,9.1,0.015,V,22.0,0.71,87547
4671,6qy3,9.1,0.015,W,23.0,0.77,7666
4671,6qy3,9.1,0.015,X,24.0,0.72,7660
4671,6qy3,9.1,0.015,Y,25.0,0.62,88905
4671,6qy3,9.1,0.015,Z,26.0,0.68,87576
4671,6qy3,9.1,0.015,a,27.0,0.61,74912
4671,6qy3,9.1,0.015,b,28.0,0.56,74471
4671,6qy3,9.1,0.015,c,29.0,0.59,74935
4671,6qy3,9.1,0.015,d,30.0,0.67,74349
4671,6qy3,9.1,0.015,e,31.0,0.56,74865
4671,6qy3,9.1,0.015,f,32.0,0.65,74416
4671,6qy3,9.1,0.015,g,33.0,0.6,74877
4671,6qy3,9.1,0.015,h,34.0,0.57,74394
4671,6qy3,9.1,0.015,i,35.0,0.53,88863
4671,6qy3,9.1,0.015,j,36.0,0.71,87671
4671,6qy3,9.1,0.015,k,37.0,0.71,7651
4671,6qy3,9.1,0.015,l,38.0,0.59,88862
4671,6qy3,9.1,0.015,m,39.0,0.73,87611
4671,6qy3,9.1,0.015,n,40.0,0.81,7694
4671,6qy3,9.1,0.015,o,41.0,0.62,88855
4671,6qy3,9.1,0.015,p,42.0,0.66,87647
4671,6qy3,9.1,0.015,q,43.0,0.82,7662
